CDSSYS,CDS_SUPP_QUOTES,,EN
ID,SUPPLIER_NAME,SUPPLIER_CONTACT,PART_NO,ENQUIRY_QTY_1,ENQUIRY_QTY_2,ENQUIRY_QTY_3,ENQUIRY_QTY_4,DATE_RAISED,PART_DESC,CURRENT_PART_ISSUE,PUR_QTY_1,PUR_COST_1,PUR_LT_1,PUR_QTY_2,PUR_COST_2,PUR_LT_2,PUR_QTY_3,PUR_COST_3,PUR_LT_3,PUR_QTY_4,PUR_COST_4,PUR_LT_4,PUR_FAI_COST,PUR_FAI_LT,PUR_TOOL_COST,PUR_TOOL_LT,ECR_LT,SC_LT,COMMENTS
7828,ARROW ELECTRONICS (UK) LTD,,GTS476-21           ,1,0,0,5,2015-09-11,RESISTOR NK4             ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7829,G & O SPRINGS LIMITED,,7560260,1,5,10,0,2015-09-14,FACE SEAL SPRING         ,2,1,462.06,7,5,100.4,7,10,55.19,14,0,0,0,0,0,0,0,0,0,
7830,GSM GRAPHIC ARTS LTD,,77022184,1,25,50,0,2015-09-14,NAMEPLATE                ,3,25,6.45,7,50,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25 = moq
7831,A.D.I.,,GTS1907-13C,1,5,10,50,2015-09-14,DIODE DZ850506C          ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Bid
7832,A.D.I.,,GTS1907-13C,1,10,25,0,2015-09-14,DIODE DZ850506C          ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Bid
7833,A.D.I.                        ,,30-733-3134-01,1,5,10,50,2015-09-14,FASTENER                 ,   ,100,0.04,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100 = moq
7834,A.D.I.                        ,,KDCC774,2,5,0,0,2015-09-14,LIC OP471                ,NA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7835,A.D.I.                        ,,GTS1612-683K        ,1,0,0,5,2015-09-14,CAPACITOR CKR22          ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7836,A.D.I.                        ,,GTS1904-7           ,1,0,0,5,2015-09-14,DIODE 1N4007             ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7837,A.D.I.                        ,,GTS1963-27          ,1,0,0,5,2015-09-14,DIODE 1N6062A            ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7838,A.D.I.                        ,,GTS2116-139M        ,1,0,0,5,2015-09-14,RELAY M39016/6           ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7839,A.D.I.                        ,,GTS2120-1           ,1,0,0,5,2015-09-14,RELAY JMGST-5M           ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7841,A.D.I.                        ,,GTS2513-8           ,1,0,0,5,2015-09-14,TRANSFORMER              ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7842,A.D.I.                        ,,GTS727-38           ,1,0,0,5,2015-09-14,DIODE 1N5647A JANTX MSC  ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7843,A.D.I.                        ,,77764196,1,0,0,5,2015-09-14,Substrate blank          ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7847,MICROSS COMPONENTS LIMITED    ,,GTS1016-02          ,1,0,0,5,2015-09-14,IC                       ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7848,MICROSS COMPONENTS LIMITED    ,,GTS1016-74          ,2,0,0,10,2015-09-14,CHIP IC MOTOROLA 54HC74  ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7849,MICROSS COMPONENTS LIMITED    ,,GTS1016-244         ,3,0,0,15,2015-09-14,IC                       ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7850,PATTONAIR,,77762421,1,10,25,0,2015-09-14,"LABEL, BITE CONTROL",,25,7.45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROM base on 77762505
7851,Foundation Technology         ,,77764181,1,0,0,5,2015-09-15,LABEL STATIC SENSITIVE   ,   ,1,0.17,4,0,0,0,0,0,0,5,0.17,4,0,0,0,0,0,0,ex CDS stock
7852,TRELLEBOR SEALING SOLUTIONS,,0216-4013,1,5,10,50,2015-09-15,DIAPHRAGM                ,7,5,60,13,10,37.9,13,50,32.03,13,0,0,0,0,0,0,0,0,0,5=MOQ
7853,SECONDO MONA  SPA,,77805044,1,5,10,50,2015-09-15,WAVEY WASHER             ,1,10,22.92,20,50,19.86,20,0,0,0,0,0,0,0,0,0,0,0,0,moq = 10
7854,PENNY & GILES CONTROLS,,77879763,8,0,0,40,2015-09-15,SINE COSINE LVDT         ,2,10,1504,29,0,0,0,0,0,0,40,1504,29,0,0,0,0,0,0,MOQ=10
7855,SUMMIT ENGINEERING,,77209739,1,20,50,250,2015-09-15,SCREW TAPPET             ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7856,SUMMIT ENGINEERING,,77069964,1,10,0,50,2015-09-15,STUD                     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7857,SUMMIT ENGINEERING,,77147130,2,0,0,10,2015-09-15,NUT                      ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7858,SUMMIT ENGINEERING,,7020428,1,10,20,0,2015-09-15,PIECE                 B/O,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7859,SUMMIT ENGINEERING,,77081482,4,0,0,20,2015-09-15,BOLT                     ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7860,MORGAN AM&T,,77345156,1,5,10,0,2015-09-15,CARBON BEARING           ,4,1,150,9,5,47.12,9,10,33.02,9,0,0,0,0,0,0,0,0,0,
7861,GRAVES AIRCRAFT COMPONENTS LTD,,1685-4003,3,0,0,15,2015-09-15,"STOP,PISTON              ",2,3,270.47,12,0,0,0,0,0,0,15,131.8,13,0,0,0,0,0,0,
7862,BEVERSTON ENGINEERING LTD,,7021472,1,10,20,0,2015-09-15,BUSH                     ,12,1,440.43,10,10,71.77,10,20,51.29,10,0,0,0,0,0,0,0,13,0,
7863,HARTLEY PRECISION M,,77101315,1,5,10,0,2015-09-15,CAMPLATE                 ,14,10,1856.88,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moq=10
7864,BEVERSTON ENGINEERING LTD,,77080740,1,5,10,50,2015-09-15,COVER MC              B/O,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7865,PRECISION CUTTING DIES,,77154750,1,10,20,0,2015-09-15,GASKET                   ,1,1,100,8,10,10,8,20,8.8,8,0,0,0,0,0,0,0,0,0,
7866,GRAVES AIRCRAFT COMPONENTS LTD,,77030314,1,5,10,0,2015-09-15,PUSH ROD                 ,7,1,546.8,0,5,166.8,0,10,119.3,0,0,0,0,75,0,510,0,0,0,
7867,BEVERSTON ENGINEERING LTD,,77086274,3,0,0,15,2015-09-15,SEAL COVER               ,6,3,224.81,10,0,0,0,0,0,0,15,74.48,10,0,0,0,0,0,0,
7868,GRAVES AIRCRAFT COMPONENTS LTD,,77190389,1,5,10,0,2015-09-15,ORIFICE PLUNGER ASSY     ,3,1,4144.01,32,5,1594.01,32,10,1250.51,34,0,0,0,0,0,0,0,0,0,
7869,HARTLEY PRECISION M,,77066168,50,0,0,250,2015-09-15,PLUG & PLUNGER ASSY.     ,6,50,146.83,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,max batch = 50 - Del for 250 not quoted.
7870,BEVERSTON ENGINEERING LTD,,77032262,100,0,0,500,2015-09-15,ASSY HOUSING PDU         ,   ,100,58.1,12,0,0,0,0,0,0,500,52.27,12,0,0,0,0,0,0,
7871,M. E. P. (AEROPLASTICS) LTD,,77850642,1,10,20,0,2015-09-15,COVER                    ,1,1,252.92,14,10,25.67,14,20,13.05,14,0,0,0,0,0,0,0,0,0,
7872,HARTLEY PRECISION M,,77102867,1,5,10,0,2015-09-15,CARBON FACESEAL ASSY     ,5,5,377.1,18,10,294.3,18,0,0,0,0,0,0,0,0,0,0,0,0,5 = moq
7873,PATTONAIR INTERN'L LTD        ,,86621805,25,0,0,125,2015-09-15,MAIN UNIT LABEL          ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7874,PATTONAIR,,77348712,1,25,50,0,2015-09-15,SHIM WASHER              ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
